2026-04
transactions_101-004-39183559-001 9;;;;;;;;;;;;;;;;;;;;
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
2026-04-27 19:50:54 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;32.00;Buy;;;;;;;;;;;;;;
2026-04-27 19:50:54 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4624.20000;32.00;Buy;9.2399;;;;;0.00000;0.0000;0.0000;;0.7330;239.39610;;101473.74;
2026-04-27 19:53:23 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Sell;;;;;;;;;;;;;;
2026-04-27 19:53:23 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4626.62000;14.00;Sell;2.7465;;;;;0.00000;0.0000;0.0000;;;0.00000;;101473.74;
2026-04-27 19:57:50 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;;
2026-04-27 19:57:50 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4629.96000;12.00;Sell;2.8420;;;;;0.00000;0.0000;0.0000;;;0.00000;;101473.74;
2026-04-27 19:58:50 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;;
2026-04-27 19:58:50 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4632.64000;12.00;Sell;2.2646;;;;;0.00000;0.0000;0.0000;;;0.00000;;101473.74;
2026-04-27 20:01:46 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;38.00;Buy;;;;;;;;;;;;;;
2026-04-27 20:01:46 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4622.11000;38.00;Buy;9.8480;;;;;0.00000;0.0000;0.0000;;0.7330;207.96500;;101681.70;
2026-04-27 20:20:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;9.00;Sell;;;;;;;;;;;;;;
2026-04-27 20:20:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4621.66000;9.00;Sell;2.0317;;;;;0.00000;0.0000;0.0000;;;0.00000;;101681.70;
2026-04-27 20:29:07 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;;
2026-04-27 20:29:07 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4624.32000;15.00;Sell;2.3316;;;;;0.00000;0.0000;0.0000;;;0.00000;;101681.70;
2026-04-27 20:29:59 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;15.00;Sell;;;;;;;;;;;;;;
2026-04-27 20:29:59 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4626.67000;15.00;Sell;4.1067;;;;;0.00000;0.0000;0.0000;;;0.00000;;101681.70;
2026-04-27 21:22:01 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;39.00;Buy;;;;;;;;;;;;;;
2026-04-27 21:22:01 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4617.32000;39.00;Buy;7.6570;;;;;0.00000;0.0000;0.0000;;0.7335;208.53570;;101890.24;
2026-04-27 22:08:26 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;;
2026-04-27 22:08:26 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4610.67000;12.00;Sell;2.2235;;;;;0.00000;0.0000;0.0000;;;0.00000;;101890.24;
2026-04-27 22:13:56 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;14.00;Sell;;;;;;;;;;;;;;
2026-04-27 22:13:56 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4612.69000;14.00;Sell;2.1274;;;;;0.00000;0.0000;0.0000;;;0.00000;;101890.24;
2026-04-27 22:19:52 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;17.00;Sell;;;;;;;;;;;;;;
2026-04-27 22:19:52 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4615.05000;17.00;Sell;2.7097;;;;;0.00000;0.0000;0.0000;;;0.00000;;101890.24;
2026-04-27 22:58:32 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;43.00;Buy;;;;;;;;;;;;;;
2026-04-27 22:58:32 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4604.60000;43.00;Buy;10.6836;;;;;0.00000;0.0000;0.0000;;0.7342;267.07940;;102157.32;
2026-04-27 23:25:11 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;;
2026-04-27 23:25:11 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4602.05000;12.00;Sell;2.8032;;;;;0.00000;0.0000;0.0000;;;0.00000;;102157.32;
2026-04-27 23:37:13 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;12.00;Buy;;;;;;;;;;;;;;
2026-04-27 23:37:13 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4576.16000;12.00;Buy;4.0079;;;;;0.00000;0.0000;0.0000;;0.7348;228.28010;;102385.60;
2026-04-28 00:08:14 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;7.00;Sell;;;;;;;;;;;;;;
