transactions_101-004-39183559-001 9
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
220;2026-05-03 23:51:00 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4559.00000;9.00;Sell;2.4923;;;;;0.00000;0.0000;0.0000;;;0.00000;;103296.82
221;2026-05-03 23:57:15 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;
222;2026-05-03 23:57:15 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4561.36000;11.00;Sell;2.6809;;;;;0.00000;0.0000;0.0000;;;0.00000;;103296.82
223;2026-05-04 00:20:38 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;29.00;Buy;;;;;;;;;;;;;
224;2026-05-04 00:20:38 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4578.14000;29.00;Buy;6.7370;;;;;0.00000;0.0000;0.0000;;0.7449;-415.36070;;102881.46
225;2026-05-04 00:37:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;
226;2026-05-04 00:37:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4562.45000;10.00;Sell;2.2129;;;;;0.00000;0.0000;0.0000;;;0.00000;;102881.46
227;2026-05-04 00:38:03 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;
228;2026-05-04 00:38:03 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4566.18000;10.00;Sell;2.2863;;;;;0.00000;0.0000;0.0000;;;0.00000;;102881.46
229;2026-05-04 00:39:09 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;10.00;Sell;;;;;;;;;;;;;
