transactions_101-004-39183559-001 10
TICKET;TRANSACTION DATE;TRANSACTION TYPE;DETAILS;INSTRUMENT;PRICE;UNITS;DIRECTION;SPREAD COST;STOP LOSS;GUARANTEED STOP LOSS;TAKE PROFIT;TRAILING STOP;FINANCING;COMMISSION;GSL FEE;GSL PREMIUM;CONVERSION RATE;PL;AMOUNT;BALANCE
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
918;2026-06-01 00:20:29 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;63.00;Buy;;;;;;;;;;;;;
919;2026-06-01 00:20:29 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4500.43000;63.00;Buy;17.7799;;;;;0.00000;0.0000;0.0000;;0.7353;223.49660;;99246.92
920;2026-06-01 01:02:08 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;13.00;Sell;;;;;;;;;;;;;
921;2026-06-01 01:02:08 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4503.48000;13.00;Sell;2.3176;;;;;0.00000;0.0000;0.0000;;;0.00000;;99246.92
922;2026-06-01 01:13:39 -12;MARKET_ORDER;POSITION_CLOSEOUT;XAU/USD;;13.00;Buy;;;;;;;;;;;;;
923;2026-06-01 01:13:39 -12;ORDER_FILL;MARKET_ORDER_POSITION_CLOSEOUT;XAU/USD;4480.57000;13.00;Buy;4.0139;;;;;0.00000;0.0000;0.0000;;0.7366;219.36980;;99466.29
924;2026-06-01 02:11:52 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;8.00;Sell;;;;;;;;;;;;;
925;2026-06-01 02:11:52 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4459.70000;8.00;Sell;0.9537;;;;;0.00000;0.0000;0.0000;;;0.00000;;99466.29
926;2026-06-01 03:00:40 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;12.00;Sell;;;;;;;;;;;;;
927;2026-06-01 03:00:40 -12;ORDER_FILL;MARKET_ORDER;XAU/USD;4461.22000;12.00;Sell;2.7238;;;;;0.00000;0.0000;0.0000;;;0.00000;;99466.29
928;2026-06-01 03:08:24 -12;MARKET_ORDER;CLIENT_ORDER;XAU/USD;;11.00;Sell;;;;;;;;;;;;;
